Feature ID	Taxon	Confidence
G000612845	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_J; s__Clostridium_J ihumii	1.0
G002032965	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Salmonella_692099; s__Salmonella enterica_690914	1.0
G000328305	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter_F_385361; s__Arthrobacter_F crystallopoietes_A	1.0
G000270305	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_I; s__Eubacterium_I sp000270305	1.0
G000195775	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_504705; f__Xanthobacteraceae_503485; g__Rhodopseudomonas; s__Rhodopseudomonas palustris_F	1.0
G001056295	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Mycobacteriaceae; g__Corynebacterium; s__Corynebacterium halotolerans_A_373172	1.0
G000160115	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Shuttleworthia; s__Shuttleworthia satelles	1.0
G002006815	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__PCC-6307; f__Cyanobiaceae; g__Synechococcus_D; s__Synechococcus_D lacustris	1.0
G000425145	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pelobium_887411; s__Pelobium glucosidilyticum_A_887376	1.0
G000171235	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Geminisphaera; s__Geminisphaera colitermitum	1.0
G003432115	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Mucilaginibacter_A; s__Mucilaginibacter_A sp003432115	1.0
G009687905	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lacticaseibacillus; s__Lacticaseibacillus zhaodongensis	1.0
G902793695	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__CAG-239; g__RUG410; s__RUG410 sp902793695	1.0
G013002705	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Nakamurellaceae; g__Nakamurella; s__Nakamurella aerolata	1.0
G001424165	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592524; f__Burkholderiaceae_A_574758; g__Massilia; s__Massilia sp001424165	1.0
G900113085	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nevskiales; f__Nevskiaceae; g__Fontimonas; s__Fontimonas thermophila	1.0
G001310395	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_D_310495; f__Amphibacillaceae; g__Halolactibacillus; s__Halolactibacillus miurensis	1.0
G009601015	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus_A_346120; s__Lactococcus_A_346120 hircilactis	1.0
G000300135	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Leuconostoc_B; s__Leuconostoc_B carnosum	1.0
G001457415	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__NBRC-103111; g__Gorillibacterium; s__Gorillibacterium timonense	1.0
G012163225	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Mycoplasmatales; f__VBWQ01; g__Spiroplasma_D; s__Spiroplasma_D platyhelix	1.0
G001983455	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Cellulosilyticaceae; g__Epulopiscium_A; s__Epulopiscium_A sp001983455	1.0
