"Sample ID"	Current_Natural_Log_Ratio
14748.MOUSE79.CAGE27.FSPFB6.S12	5.744017362189506
14748.MOUSE77.CAGE27.FSPFB6.S12	6.1751216895975825
14748.MOUSE61.CAGE54.FSPFB6.S7	5.9829959537602875
14748.MOUSE88.CAGE21.FSPF3XTG.S12	-5.847878723064022
14748.MOUSE102.CAGE68.MSPF3XTG.S7	-5.93882730314189
14748.MOUSE113.CAGE74.MSPFB6.S7	-0.6876399281661545
14748.MOUSE110.CAGE74.MSPFB6.S7	0.8263452554028792
14748.MOUSE80.CAGE27.FSPFB6.S12	7.357042754036935
14748.MOUSE81.CAGE27.FSPFB6.S12	6.903146975895943
14748.MOUSE115.CAGE62.FSPF3XTG.S7	-5.862146767893426
14748.MOUSE132.CAGE42.MSPF3XTG.S12	-4.144493854694273
14748.MOUSE111.CAGE74.MSPFB6.S7	-1.200077036737909
14748.MOUSE134.CAGE45.MSPFB6.S12	2.6621266140271125
14748.MOUSE144.CAGE66.FSPFB6.S12	0.3510256320976577
14748.MOUSE145.CAGE66.FSPFB6.S12	1.4562980042961922
14748.MOUSE84.CAGE20.FSPF3XTG.S12	-2.2726091858627555
14748.MOUSE138.CAGE46.MSPFB6.S12	4.4259347712460055
14748.MOUSE36.CAGE16.FSPFB6.S15	-3.258569016178157
14748.MOUSE16.CAGE7.FSPFB6.S15	-1.8915727122865338
14748.MOUSE12.CAGE6.FSPFB6.S15	-0.09212293241199276
14748.MOUSE52.CAGE50.FSPF3XTG.S7	-6.3878619031455495
14748.MOUSE108.CAGE73.MSPFB6.S7	-1.8135327670779837
14748.MOUSE15.CAGE7.FSPFB6.S15	-0.3410352289974554
14748.MOUSE128.CAGE41.MSPF3XTG.S12	-4.125556922656749
14748.MOUSE127.CAGE40.MSPF3XTG.S12	-2.5353403605063214
14748.MOUSE107.CAGE70.MSPF3XTG.S7	-5.8540765208739955
14748.MOUSE85.CAGE20.FSPF3XTG.S12	-5.082506038508879
14748.MOUSE139.CAGE46.MSPFB6.S12	7.951547189265122
14748.MOUSE55.CAGE53.FSPF3XTG.S7	4.650903178714975
14748.MOUSE141.CAGE47.MSPFB6.S12	1.5083734787925103
14748.MOUSE140.CAGE47.MSPFB6.S12	0.10339551252363854
14748.MOUSE86.CAGE21.FSPF3XTG.S12	-4.221444898366103
14748.MOUSE112.CAGE74.MSPFB6.S7	-1.3254541926144423
14748.MOUSE114.CAGE74.MSPFB6.S7	-1.1039306014747705
14748.MOUSE135.CAGE45.MSPFB6.S12	0.397655550199536
14748.MOUSE133.CAGE42.MSPF3XTG.S12	-4.498998687258533
14748.MOUSE136.CAGE45.MSPFB6.S12	2.939646643330466
14748.MOUSE131.CAGE42.MSPF3XTG.S12	-6.353449604963682
